El partido de voleibol está en curso entre las damas	Mujeres participando en las finales de la competencia de tenis
La Secretaria de Estado para la Economía de Suiza ha confirmado que la inmigración europea ha permitido reducir el ritmo de envejecimiento de la población y atenuar el problema de la financiación de las prestaciones sociales.	El texto de la iniciativa aprobada advierte con ambigüedad de que "el derecho de estancia duradera puede ser limitado", al igual que "la reunificación familiar" y las "prestaciones sociales".
El incidente aterrador comenzó en el lado sur del edificio, de acuerdo con la CBS de Nueva York.	Todo comenzó en el costado sur del edificio ubicado en el Bajo Manhattan, cuando uno de los cuatro cables que sostienen el aparato se aflojó, dijo el comisionado de bomberos, Daniel Nigro.
El "corvo" es un arma blanca tradicional usada en Chile, de carácter ofensivo, apta para la lucha cuerpo a cuerpo.	El corvo es un arma que aparece recurrentemente en la literatura, temas de folclore y episodios históricos de Chile.
"Eso pone fin al bloqueo de la OMC y abre la vía al Acuerdo de Facilitación del Comercio", afirmó en un comunicado la ministra india de Comercio, Nirmala Sitharaman.	"La India y Estados Unidos han resuelto el punto muerto sobre la seguridad alimentaria en la Organización Mundial del Comercio ", publicó la ministra india de Comercio, Nirmala Sitharaman, en su cuenta de Twitter.
Los católicos creen que el papa Francisco está realizando una buena tarea, pero muchos discrepan con la doctrina de la Iglesia sobre temas candentes, especialmente el uso de anticonceptivos, según un sondeo global difundido este domingo.	Encuesta revela que 87% de los católicos respalda labor realizada por el papa Francisco, así mismo, los encuestados presentan divisiones frente a la aplicación de la doctrina de la iglesia, ya que muchos apoyan el uso de anticonceptivos, el matrimonio homosexual y el divorcio.
Un grupo de niñas están jugando en un basurero.	Un grupo de niños están jugando en el agua.
La "sífilis", también conocida como "búas", "bubas" o "lúes", es una infección de transmisión sexual crónica producida por la bacteria espiroqueta "Treponema pallidum", subespecie "pallidum" (pronunciado "pál lidum").	La sífilis es una forma de la infección tropical de la piel, los huesos y las articulaciones, llamada guiñada (también "frambesia trópica", "polypapilloma trópicum", "thymosis", "yaws" o "pian") causada por la bacteria espiroqueta "Treponema pertenue".
Cada persona que se muestra está sosteniendo un cachorro.	Una persona está hablando.
Según el sondeo, 87% de los católicos cree que Francisco está haciendo un buen o excelente trabajo.	El 87% de los católicos del mundo aprobaron el trabajo del papa, reveló una encuesta divulgada el domingo.
El gobernante Partido Liberación Nacional fue castigado hoy en las elecciones presidenciales de Costa Rica al verse obligado a enfrentarse en una segunda vuelta al Partido de Acción Ciudadana , de centro izquierda, que sorpresivamente ganó en primera ronda.	En un ambiente de máxima incertidumbre, sin ningún candidato como claro favorito, el gobernante Partido Liberación Nacional ha sido castigado por los electores costarricenses y se verá obligado, con el 29,6% de los votos, a enfrentarse en una segunda vuelta el próximo 6 de abril al Partido de Acción Ciudadana , de centro izquierda, que sorpresivamente obtuvo el mayor porcentaje de votos en primera ronda .
Al menos veinte jóvenes palestinos de nacionalidad israelí fueron arrestados hoy por la Policía en una creciente ola de protestas de la minoría árabe de Israel, tras la muerte el viernes de un joven a manos de agentes policiales en una localidad de la Galilea.	La comunidad árabe de Israel protestó el domingo contra la muerte de un joven abatido a tiros por la policía en una localidad próxima a Nazaret, en un episodio más de la violencia que vive esta región.
La idea es trazar una hoja de ruta para la incorporación total de Costa Rica, que el próximo 8 de mayo tendrá un nuevo presidente tras la segunda vuelta electoral del 6 de abril.	Chinchilla está próxima a concluir su mandato, que entregará el 8 de mayo al vencedor en la segunda vuelta electoral del 6 de abril, pero el cambio de Gobierno no alterará la adhesión de Costa Rica a la Alianza del Pacífico, como dijo en una entrevista con Efe la ministra de Comercio Exterior, Anabel González.
La "132ª División blindada "Ariete" fue la primera división blindada constituida por el "Regio Esercito" italiano, el 1 de febrero de 1939 a partir de la "2ª Brigada blindada".	La división "Ariete" se constituyó el 1 de febrero de 1939 a partir de la "2ª Brigada blindada", que en consecuencia queda disuelta.
El tiroteo tuvo lugar a las 14:00 hora local en el principal templo ortodoxo de Yuzhno-Sajalinsk, donde viven poco más de 180 mil personas.	Desde que empezaron los Juegos Olímpicos de Invierno de Sochi, a orillas del Mar Negro, las autoridades rusas han reforzado las medidas de seguridad en todo el país. El tiroteo tuvo lugar en el sur de la isla Sajalín, situada a más de 7.000 kilómetros de Sochi.
Las "joyas de la Corona" son joyas u objetos de bien de piedras preciosas o de bisutería pertenecientes al reinado de una familia real en un determinado país.	Las joyas de la Corona y otros objetos pertenecientes a los gobernantes se guardan en sus respectivos palacios.
La "parapsicología" es una pseudociencia que estudia los fenómenos paranormales o fenómenos psi (como la percepción extrasensorial, telequinesia, telepatía, precognición, clarividencia, las experiencias extracorpóreas, el espiritismo y los poltergeist).	El psi es una entidad creada para intentar comprender la supuesta mecánica de los fenómenos parapsicológicos, entre los que se incluirían la percepción extrasensorial, la telepatía, la clarividencia, la precognición, la psicoquinesis, los poltergeist, las experiencias cercanas a la muerte, la mediumnidad, las experiencias extracorpóreas o la sanación milagrosa.
"La libertad de manifestación es un principio fundamental de la democracia y jamás puede ser usado para matar, herir, agredir y amenazar vidas humanas, ni depredar patrimonio público o privado", dijo Rousseff en una serie de mensajes en Twitter.	"Es inaceptable que las protestas democráticas se vean distorsionadas por los que no tienen respeto por la vida humana."
"Guerrero" es uno de los 31 estados que junto con el Distrito Federal conforman las 32 entidades federativas de México.	Como artesanía, la alfarería en el estado de Guerrero es uno de los recursos culturales más comunes y utilizado en el diario vivir de los pobladores, como ollas, vasijas, jarros, candeleros.
La ONU condena el ataque a una escuela de Nigeria y pide que se haga Justicia Naciones Unidas, 10 nov .	El secretario general de la ONU, Ban Ki-moon, condenó hoy el atentado suicida perpetrado en una escuela en Nigeria, en el que murieron al menos 48 personas, y exigió que se lleve ante la Justicia a los responsables.
Hipólito Mora, líder de este grupo originario de la comunidad de La Ruana, en el municipio de Buenavista Tomatlán, colindante con Apatzingán, encabezó a cerca de cien hombres, quienes dejaron las armas en su comunidad para ingresar vestidos de blanco en la catedral.	Hipólito Mora, líder de este grupo de autodefensa originario del municipio de Buenavista Tomatlán, colindante con Apatzingán, encabezó a cerca de 100 hombres, quienes dejaron las armas a las afueras de la comunidad para ingresar vestidos de blanco en la catedral.
Un "catéter de diálisis" es un catéter usado para mover sangre del paciente a y desde la máquina de hemodiálisis.	Si un paciente requiere terapia de diálisis de largo plazo, un catéter de diálisis crónico será insertado.
El salvadoreño que dijo haber pasado más de 13 meses a la deriva en una lancha descubierta de un lado al otro del Océano Pacífico le dio las gracias al pueblo de las Islas Marshall por haber cuidado de él y dijo que se sentía "muy bien" antes de partir el lunes de regreso a casa.	José Salvador Alvarenga , salvadoreño que dijo haber pasado más de 13 meses a la deriva en una lancha descubierta de un lado al otro del Océano Pacífico, se despide del presidente de las Islas Marshall, Christopher Loeak, antes de tomar un avión a Hawái en el aeropuerto de Majuro, en las Islas Marshall.
El "himno de la Unión Europea", oficialmente "Himno Europeo", es uno de los cuatro símbolos oficiales de la Unión Europea.	Este himno, según la Unión Europea, no sustituye a los himnos nacionales de los países de la UE, sino que "celebra los valores que todos ellos comparten".
El gobierno del Estado ha abierto una investigación y los habitantes de la ciudad de Bilaspur salieron a la calle para pedir sanciones contra los médicos.	El gobierno del estado de Chhattisgarh suspendió la campaña de esterilización, ordenó una investigación sobre la muerte de las mujeres que se sometieron a la cirugía y denunció a cuatro médicos.
La "semántica lingüística" es un subcampo de la semántica general y de la lingüística que estudia la codificación del significado dentro de las expresiones lingüísticas.	La transmisión de información requiere algún tipo de codificación del contenido semántico en forma de expresiones lingüísticas.
El presidente estadounidense, Barack Obama, ha expresado su agradecimiento por la liberación este sábado de los ciudadanos estadounidenses Kenneth Bae y Matthew Todd Miller, que cumplían penas de trabajos forzados en Corea del Norte.	Los ciudadanos estadounidenses Kenneth Bae y Matthew Todd Miller han llegado a EE.UU. tras haber sido liberados por Corea del Norte.
El presidente de Chile, Sebastián Piñera, reiteró que su país analiza etirarse del Pacto de Bogotá: "Yo estoy convencido de que el triángulo terrestre es chileno y eso así lo ha sostenido, así lo ha defendido y lo va a seguir defendiendo Chile", dijo Piñera.	Esto a raíz de las diferencias surgidas sobre la soberanía de ese espacio tras el fallo de la Corte Internacional de Justicia de La Haya , que marcó el inicio de la frontera marítima entre los dos países en el Hito N° 1. 
Las aguas del río Támesis está en su nivel más alto desde los pasados años ochenta, debido a la intensidad de las lluvias de las últimas semanas en Inglaterra, informó hoy la Agencia medioambiental británica.	Támesis crece al nivel más alto en décadas por el temporal. 
Los presidentes de la Alianza del Pacífico celebran hoy en Cartagena de Indias su octava cumbre.	Una vez cumplidos esos requisitos, la liberalización del comercio de la Alianza del Pacífico entrará en vigor inmediatamente.
Los presidentes de EE.UU., Barack Obama, y Francia, François Hollande, centrarán las conversaciones que comienzan hoy con una visita a la residencia de Thomas Jefferson, en los desafíos de seguridad en Irán, Siria y África, así como en las vías para fortalecer la cooperación económica.	Este martes ambos mandatarios volverán a encontrarse en el Despacho Oval, después ofrecerán una conferencia de prensa conjunta y, por último, Hollande será agasajado por Obama con una cena de gala en la Casa Blanca.
Iniciada por el partido de extrema derecha, la propuesta de la Unión Democrática de Centro , también restablece el principio de la preferencia por el trabajador nacional frente al extranjero, que se encontraba abolida para todos los trabajadores procedentes de alguno de los países de la Unión Europea.	Además, el resultado del referéndum, que contó con una participación del 56,5%, permite restablecer la preferencia por el trabajador nacional frente al extranjero, que no se aplicaba para los trabajadores procedentes de los países de la Unión Europea.
Esta sería la segunda vez en que ambos mandatarios se reúnen tras el fallo de la Corte Internacional de Justicia , que resolvió el pasado 27 de enero una demanda marítima interpuesta por Perú en contra de Chile.	"No tenemos formalizado nada pero estoy seguro de que ambos mandatarios se van a dar un espacio para conversar y de intercambiar opiniones y también de las relaciones en general entre Chile y Perú", declaró Moreno a los periodistas que acompañan a la delegación chilena a la cumbre.
Las autoridades de Cuba indicaron que "todo podría estar en la mesa", incluyendo los derechos humanos.	Se trata de "encontrar cómo podemos en la práctica promover los derechos humanos, todos los derechos humanos" en la isla, agregó Portocarero.
La policía mata a un caníbal cuando se comía a una mujer en un hotel de Gales	Policiales a un caníbal que se estaba comiendo la cara de una mujer Gales del Sur El hombre, de 34 años, había salido de prisión hace dos semanas por violencia de género.
Los empresarios están reunidos para discutir sus últimas iniciativas.	Dos hombres están discutiendo su reunión de negocios.
Osama bin Laden, líder de Al Qaeda, y uno de los hombres más buscados por Estados Unidos fue abatido el 1 de mayo de 2011 en su escondite en Pakistán.	El cadáver del jefe de Al Qaeda fue finalmente lanzado al mar de Arabia en mayo de 2011.
Este pescado, debido a su elevado precio en el mercado, tiene un sucedáneo de surimi más barato, conocido como "gula" (nombre tomado de una marca comercial).	Es popularmente conocido como "gula", nombre que realmente corresponde a una marca comercial concreta de dicho producto.
Cuando un electrón colisiona con un positrón, las dos partículas pueden resultar totalmente aniquiladas y producir fotones de rayos gamma.	Si el electrón y el positrón tienen una cantidad de movimiento despreciable se puede formar un positronio antes de que la aniquilación resulte en dos o tres fotones de rayos gamma de un total de 1.022 MeV.
Irán y el Organismo Internacional para la Energía Atómica han puesto fin hoy a las negociaciones nucleares con un nuevo acuerdo de cooperación de siete puntos.	Se espera que los nuevos puntos de acuerdo estén dirigidos a ampliar la transparencia del programa nuclear iraní Irán y el Organismo Internacional para la Energía Atómica pusieron fin a las negociaciones nucleares con un nuevo acuerdo de cooperación de siete puntos.
“Loretta podría ser la única abogada en Estados Unidos que lucha contra mafiosos, narcos y terroristas y aún conserva la reputación de ser una persona encantadora”, dijo Obama al presentarla en la Casa Blanca. 	“Loretta puede ser la única abogada en Estados Unidos que combate criminales, narcotraficantes y terroristas, y además tiene la reputación de ser una persona encantadora”, señaló Obama al hacer el anuncio en el salón Roosevelt de la Casa Blanca.
¿Por qué el hombre que mató a Osama Bin Laden salió a la luz? 	Pero ahora ya se conoce quién fue el que mató a Bin Laden, el líder de Al Qaeda y el enemigo por antonomasia de los Estados Unidos.
El sobrepeso y la obesidad son el quinto factor principal de riesgo de defunción en el mundo.	El exceso de peso corporal (sobrepeso y obesidad) produce mayor alteración en el Índice de Kupperman, metabolismo, sueño y calidad de vida.
Ejemplos conocidos son la cocaína, la morfina, la atropina, la colchicina, la quinina, cafeína, la estricnina y la nicotina.	Ejemplos de betaínas son la betaína glicínica, la trimetilserina (precursor de la colina) y la hipaforina.
Aquí la mayoría de los candidatos se han expresado a favor de una mayor agilidad del aparato estatal, sin embargo, los planteamiento parecen ser muy superficiales todavía para el empresariado.	"Los dos se han mostrado a favor de las concesiones y eso nos da mucha tranquilidad.
Aunque con 425 millones de fieles, América Latina contiene el 40% de la población católica del mundo, cada vez son más los cristianos que se dicen protestantes.	América Latina posee más de 425 millones de católicos que representan casi el 40% de la población católica en todo el mundo, pero el número de fieles que busca otra denominación aumenta sostenidamente, en su mayoría en denominaciones protestantes.
El snowboarder realiza un truco.	El snowboarder realizó un truco.
Los hechos ocurrieron en las afueras de la estación de tren de Haganah, situada en el centro de Tel Aviv y muy concurrida a esa hora.	Pocas horas antes, otro palestino había herido de gravedad a un soldado israelí de 20 años con un cuchillo en la estación de tren Hagana, situada en el sur de Tel Aviv.
Estos datos deben aclarar si los cometas trajeron el agua de los océanos y las materias primas de la vida a la Tierra en los primeros tiempos del Sistema Solar.	Rosetta ayudará a descubrir si los cometas intervinieron en la formación de vida en la Tierra.
Una mujer ordeñando una vaca.	Una mujer empuja un carrito.
La "ingeniería" es el conjunto de conocimientos y técnicas científicas aplicadas a la creación, perfeccionamiento e implementación de estructuras (tanto físicas como teóricas) para la resolución de problemas que afectan la actividad cotidiana de la sociedad.	Otra característica que define a la ingeniería es la aplicación de los conocimientos científicos a la invención o perfeccionamiento de nuevas técnicas.
La primera aparición pública se produjo pero, este miércoles por la noche a través de Twitter cuando la presidenta anunció que Argentina retiraba la candidatura de la embajadora Susana Ruiz Cerutti del Tribunal Internacional de Justicia.	Además, la mandataria difundió a través de la web la decisión de la Argentina de retirar la candidatura de la embajadora Susana Ruiz Cerrutti para integrar la Corte Internacional de Justicia, y evitar así un escenario de competencia con el postulante jamaiquino y “priorizar el fortalecimiento de la unidad regional”.
Según ha explicado la ESA en un comunicado, los colores de la imagen se han alterado para estudiar los complejos procesos de la meteorología saturnina.	El Huawei Ascend G6 se deja ver en una imagen en cinco colores
La captura fue encabezada por Marita Barreto, la fiscal peruana que estaba a cargo del caso y que había tramitado ante Interpol la captura internacional de Orellana Rengifo.	Según indicó, la captura fue pasada la medianoche y ya se verificó que sí se trata de Orellana.
Tres personas visten ropa moderna.	Dos personas visten uniformes de trabajo.
El pescador, de 37 años, que afirma haber sobrevivido 13 meses a la deriva en el océano Pacífico , necesitaba el visto bueno de los médicos después de recuperarse con dificultades de su experiencia que le llevó a un lejano atolón de las Islas Marshall hace 12 días.	El pescador, de 37 años, que afirma haber sobrevivido trece meses a la deriva en el Pacífico, necesitaba la luz verde de los médicos después de recuperarse con dificultad de su dura experiencia hasta llegar a un lejano atolón de las Islas Marshall hace doce días.
Este activista ucraniano muy activo dentro de la oposición contra el presidente Viktor Yanukovitch afirma haber sido secuestrado el 22 de enero en Kiev y torturado durante una semana, antes de ser liberado en medio de un bosque.	Este opositor de 35 años y padre de tres niños fue secuestrado el 22 de enero en Kiev y torturado durante una semana antes de ser liberado en medio de un bosque.
El perro está tomando un baño.	Un perro está tomando un baño.
"Wikipedia en español" es la versión en español de Wikipedia, un proyecto de enciclopedia web multilingüe de contenido libre basado en un modelo de edición abierta.	La Fundación Wikimedia ha creado, mantiene, y es responsable de una serie de proyectos web de contenido libre basados en un modelo de edición abierta «hermanos» de Wikipedia.
El magistrado tiene constancia de que todos ellos se encuentran en paradero desconocido y ordena librar la orden internacional de detención de Zemin, junto con la del exprimer ministro Li Peng, el jefe de la seguridad china y responsable de la Policía Qiao Shi, el exsecretario del partido en el Tibet Chen Kuiyan y el exministro de Planificación familiar Peng Pelyun por su presunta participación en el genocidio perpetrado en el Tibet.	El magistrado ha acordado también que se acuerde también la expedición de las correspondientes órdenes de busca y captura para su ingreso en prisión incondicional del exprimer ministro Li Peng, el jefe de la seguridad china y responsable de la Policía Qiao Shi, el exsecretario del partido en el Tibet Chen Kuiyan y el exministro de Planificación familiar Peng Pelyun por su presunta participación en el genocidio perpetrado en el Tibet.
El fallo de la Corte Internacional de Justicia se refiere únicamente al límite marítimo con Chile y no a la delimitación terrestre, precisó hoy el presidente Ollanta Humala, quien aclaró que su ejecución debe darse "sí o sí" y no puede ser objeto de ningún condicionamiento.	Refirió, además, que el veredicto de la Corte Internacional de Justicia de La Haya no se refiere a lo terrestre, sino al límite marítimo, e insistió en que el denominado triángulo terrestre es chileno.
Las autoridades de Cuba indicaron que "todo podría estar en la mesa", incluyendo los derechos humanos.	Los países de la UE decidieron conservar, por el momento, la "posición común" adoptada en 1996 que condiciona los vínculos con La Habana a los avances en materia de derechos humanos.
La "nutrición autótrofa" es la capacidad de ciertos organismos de sintetizar todas las sustancias esenciales para su metabolismo a partir de sustancias inorgánicas, de manera que para su nutrición no necesitan de otros seres vivos.	Se denominan autótrofos porque generan sus propios alimentos, a través de sustancias inorganicas para su metabolismo.
Bajo un arreglo, Jordania tiene derechos de custodia sobre sitios sagrados musulmanes en Jerusalén, incluyendo el complejo conocido por los judíos como el Monte del Templo y por los musulmanes como el Noble Santuario.	Las visitas de los fieles judíos al sitio — conocido por los judíos como Monte del Templo y por los musulmanes como Explanada de las Mezquitas — han generado preocupación entre los musulmanes sobre que Israel pueda estar intentando hacerse con el control del lugar en secreto.
El papa Francisco desmintió ayer que haya convocado a una reunión a representantes del gobierno nacional, de la Unión Industrial Argentina y de la CGT, con el fin de dialogar sobre la situación económica del país y con el objetivo de garantizar la paz social en un momento de discusión salarial.	El 26 de noviembre pasado, Francisco recibió durante casi dos horas a la Mesa Directiva de la CGT oficialista, liderada por Caló, quien señaló que el Papa les pidió a los dirigentes gremiales “por la unidad de todos los argentinos”. 
En Alemania, los demandantes de empleo que necesitan asistencia pueden solicitar el seguro básico para garantizar su subsistencia.	La directiva pretende, señala el fallo, "impedir de ese modo que los ciudadanos de la Unión que no ejerzan una actividad económica utilicen el sistema asistencial del Estado miembro de acogida para garantizar su subsistencia".
"Gabrielle Bonheur "Coco" Chanel" (Saumur, 19 de agosto de 1883 - París, 10 de enero de 1971) fue una diseñadora de moda francesa.	Hija de un vendedor ambulante y una ama de casa, ambos de escasos recursos, Gabrielle Chanel nació en un hospicio de Saumur, el 19 de agosto de 1883.
La neuroanatomía es el estudio de la estructura y la organización del sistema nervioso.	El primer registro escrito conocido de un estudio de la anatomía del cerebro humano es egipcio, el papiro de Edwin Smith.
Un grupo de personas está sentado en un bar.	Un grupo de personas está de pie en un bar.
El "papa" es el obispo de Roma, por lo que, como tal, recibe la consideración de cabeza visible de la Iglesia católica, cabeza del Colegio Episcopal; jefe de Estado y soberano de la Ciudad del Vaticano.	Así el título de papa no es exclusivo de la Iglesia de Roma, pues era utilizado antiguamente por los principales patriarcas, hasta que fue cayendo en desuso, conservándolo sólo el patriarca de Occidente (obispo de Roma) y el patriarca de Alejandría, tanto el de la Iglesia copta como el de la Iglesia ortodoxa de Alejandría.
La gente está al aire libre en una montaña.	La gente está de pie alrededor de dos cuatrimotos en una playa.
La Gobernación realiza trabajos de desvió en el río Rocha por la zona de la Muyurina, donde seis viviendas corren el riesgo de colapsar por la erosión del terreno y la invasión de la franja de seguridad.	Por un estrechísimo margen, de apenas 0,3%, los votantes suizos aprobaron ayer en referéndum volver al antiguo sistema para limitar la entrada de trabajadores de la UE, como lo hace en el caso de todo el resto de países.
El "cáncer" es una enfermedad provocada por un grupo de células que se multiplican sin control y de manera autónoma, invadiendo localmente y a distancia otros tejidos.	El crecimiento del cáncer es descontrolado y acelerado por un proceso de división celular continuo.
De forma más visible, su legado incluye una marca política y moral  con enorme potencial que algunos de sus nietos y bisnietos ya han  aprovechado para vender todo tipo de cosas, desde ropas hasta  'realities' en televisión.	Algunos de sus nietos han lanzado una línea de gorras y camisetas  que llevan su imagen bajo la marca 'Largo camino hacia la libertad';  Dos de sus nietas afincadas en Estados Unidos han aparecido en un  'reality show' llamado 'Siendo Mandela'.
Perú y Rusia están cooperando en el ámbito de defensa con la transferencia de tecnologías y con coproducción, dijo hoy el presidente peruano, Ollanta Humala.	Se trata de la primera visita de un presidente de Perú a Rusia en los 45 años de relaciones diplomáticas, por lo que ha sido calificada de "histórica" por ambas partes.
Todos los oficiales del ejército británico y muchos de otras partes del mundo son entrenados en Sandhurst.	El curso dura 44 semanas, y deberá ser completado por todos los oficiales regulares del Ejército Británico (con algunas excepciones) antes de que reciban su comisión.
Después de dos meses de protestas y el estallido de violentos disturbios, el Primer Ministro de Ucrania dimitió, sin embargo, los opositores continúan reclamando la celebración de elecciones anticipadas. 	Tras más de dos meses de protestas y el estallido de violentos disturbios, el gobierno ucraniano dimitió, pero los opositores siguen reclamando la celebración de elecciones anticipadas, tanto legislativas como presidenciales.
Hombres que se preparan para tomar un baño en el océano.	Un perro cubierto de nieve hasta su vientre intenta moverse.
Entre las víctimas hay al menos 217 civiles que perecieron por el fuego cruzado en los combates, en atentados y por el impacto de proyectiles de mortero.	Dentro de esta cifra, hay al menos 23 ciudadanos que fueron ejecutados por el Estado Islámico.
El presidente de Uruguay, José Mujica, se reunió en La Habana la semana pasada con la delegación de paz de las Fuerzas Armadas Revolucionarias de Colombia , según confirmó hoy un portavoz de la guerrilla.	Los negociadores, encabezados por el exvicepresidente Humberto de la Calle, tienen previsto partir sobre las 19:30 GMT hacia la capital cubana, donde residen los delegados de las Fuerzas Armadas Revolucionarias de Colombia desde que se inició el diálogo en busca de la paz en noviembre de 2012.
El vicepresidente Joe Biden formuló el anuncio en el Banco Interamericano de Desarrollo, donde los mandatarios de las tres naciones centroamericanas le presentaron este viernes un plan para reducir el flujo de niños que emigran de manera irregular al norte.	El vicepresidente habló en una conferencia del Banco Interamericano de Desarrollo , en la que los presidentes de Honduras, Guatemala y El Salvador presentaron su plan "Alianza para la Prosperidad en el Triángulo Norte".
La palabra "judaísmo" se refiere a la religión, la tradición y la cultura del pueblo Judío.	Los judíos, una vez conquistada la ciudad de Jericó, se establecieron en la zona agrícola de Canaán, tierra de la cual en la "Biblia" se dice que «manaba la leche y la miel».
Las manifestaciones de Kiev comenzaron después de que Yanukovich rechazase firmar un acuerdo de libre comercio con la Unión Europea, para favorecer sus relaciones con Rusia.	El país, que atraviesa una mala situación financiera, se quedó sin respaldo financiero europeo cuando el gobierno de Yanukovich renunció, a fines de noviembre, a firmar un acuerdo de asociación con la Unión Europea , lo que desencadenó las primeras protestas callejeras.
Un medicamento genérico es fabricado con los mismos ingredientes activos, y está disponible con la misma potencia y dosificación que su equivalente de marca.	Según la OMS, un "medicamento genérico" es aquel vendido bajo la denominación del principio activo que incorpora, siendo bioequivalente a la marca original, es decir, igual en composición y forma farmacéutica y con la misma biodisponibilidad que la misma.
Una serie de personas de pie cerca a una estatua de un toro.	Una estatua de oro de una hombre mientras que gente camina frente a un bar de restaurante.
El "wolframio" o "volframio", también llamado "tungsteno", es un elemento químico de número atómico 74 que se encuentra en el grupo 6 de la tabla periódica de los elementos.	"Democracia" es una forma de organización social que atribuye la titularidad del poder al conjunto de la sociedad.
El zoo de Copenhague sacrificó hoy a una jirafa de dos años alegando que tenía que evitar futuros problemas de consanguinidad, pese a una intensa campaña pública en internet para salvar su vida y a la propuesta de alternativas.	Activistas del movimiento ecologista ruso El Siglo Verde depositaron este miércoles flores frente a la Embajada de Dinamarca en Moscú para recordar a una jirafa sacrificada el pasado domingo 9 de febrero en el zoológico de Copenhague. 
Los antiguos romanos prefirieron los edificios pseudoperípteros, con un pórtico en la parte delantera, con columnas encastradas a lo largo de los lados y muros en traseros en la "cella".	Los edificios pseudoperípteros parecen similares a los edificios "perípteros" con columnas exentas alrededor de la cella como un "peristilo".
Un cámara herido en una manifestación en Río de Janeiro se ha convertido en la primera víctima mortal dentro de los medios de comunicación que han cubierto las protestas desatadas en Brasil con motivo de la celebración del Mundial de fútbol.	El sábado se aplicó un nuevo aumento del pasaje en Río de Janeiro, desatando nuevas protestas esta semana en la ciudad.
La mandataria, de 61 años, “retomó ayer de manera incipiente la agenda gubernamental” en la residencia presidencial de Olivos, en las afueras de la ciudad de Buenos Aires, informó el ministro coordinador.	"La Presidenta de la Nación ha retomado ayer de una manera incipiente la agenda gubernamental, hecho que es muy trascendente", informó el jefe de Gabinete esta mañana, en su habitual encuentro con periodistas, aunque aclaró que "obviamente, en el marco de la prescripción médica de reposo".
La detención estuvo a cargo de un fiscal de la Dirección Especializada de Fiscalía contra el Crimen Organizado de Colombia con el apoyo de la Policía y la DEA .	Miller, de 24 años, fue condenado a seis años por la Corte Suprema de Corea del Norte después de ser detenido por supuestamente romper su visa y pedir asilo.
Lee admitió en el juicio que el pánico le paralizó y que no pudo tomar las "medidas adecuadas" para tratar de salvar a los pasajeros.	El juez expuso en su sentencia que el capitán fue el máximo responsable del trágico final del naufragio, ya que retrasó la orden de evacuación, no tomó las medidas oportunas cuando el barco comezó a hundirse y posteriormente no realizó esfuerzos para rescatar a los pasajeros.
"Santa Ana, con la Virgen y el Niño" o "La Virgen, el Niño Jesús y Santa Ana", es una pintura al óleo de Leonardo da Vinci representando a Santa Ana, su hija la Virgen María y el Niño Jesús.	Otra teoría propuesta por Freud intenta explicar el cariño de Leonardo al representar a la Virgen María con Santa Ana.
La Audiencia de Palma dará hoy a conocer su decisión sobre si ratifica o anula la imputación de la infanta Cristina en el caso Nóos al resolver los catorce recursos presentados al auto con el que finalizó la instrucción de esta causa judicial.	Tres magistrados de la Audiencia Provincial de Palma , confirmaron hoy la imputación de Cristina de Borbón por dos delitos fiscales, pero retiraron esa condición en el caso de blanqueo de capital.
El "Consejo de Seguridad de Naciones Unidas" es el organismo de las Naciones Unidas encargado de mantener la paz y seguridad entre las naciones.	El hijo de Rómulo, Numa Pompilio, en agradecimiento a la diosa, instaura el culto a las vestales.
"Es una fiscal independiente que en dos ocasiones ha dirigido una de las fiscalías más importantes del país", señaló el vocero de la presidencia, Josh Earnest.	"A lo largo de sus 30 años de carrera, se ha distinguido como una persona férrea, justa y una abogada independiente que ha dirigido en dos ocasiones una de las oficinas legales más prominentes de Estados Unidos", subrayó el mandatario.
Entre las especies más corrientes destacan "Agrostis castellana" y "Agrostis stolonifera", esta última muy usada en campos de golf ya que es muy invasora y crea un tapete perfecto para la práctica de este deporte.	Las especies espontáneas en los pastizales de la Península Ibérica son abundantes, aunque de escaso valor nutritivo.
El "jazz" es un género musical nacido en la segunda mitad del siglo XIX en Estados Unidos, que se expandió de forma global a lo largo de todo el siglo XX.	"Alcázar de San Juan" es una ciudad de la comunidad autónoma de Castilla-La Mancha, ubicada en el noreste de la provincia de Ciudad Real.
Su identidad la había revelado durante el viaje en patrullera desde Ebon, dijo un funcionario del ministerio de Relaciones Exteriores de las Marshall, un vasto archipiélago de Micronesia.	La información fue suministrada por el pescador al embajador mexicano en Manila, Julio Camarena, quien también habló del caso con el ministro de Exteriores de las Islas Marshall, Phillip Muller, así como otras autoridades del archipiélago.
La denominación de "Jardín Persa" remite a una tradición y a un estilo de la concepción de los jardines que tiene su origen en Persia (actual Irán).	El concepto persa de un jardín ideal (parecido a un paraíso), tiene su mejor representación en el Taj Mahal.
"Izamal" (en idioma maya, Itzmal: rocío del cielo) es una ciudad mexicana, cabecera del municipio del mismo nombre (uno de los 106 que conforman la entidad federativa) en el Estado de Yucatán.	El municipio de Izamal es uno de los 106 municipos del Estado de Yucatán, México ubicado en la parte central hacia el norte de la península de Yucatán.
